Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
ERR1797969_1 - illumina_universal_adapter	(1, 0.030084008523918078)	(2, 0.03970719002791648)	(3, 0.0532089454874527)	(4, 0.07112518124429587)	(5, 0.11614902483551916)	(6, 0.20692539042511945)	(7, 0.34546296293440415)	(8, 0.4513449475675404)	(9, 0.5011225502911475)	(10, 0.5607353837906761)	(12, 0.6259521012309344)	(14, 0.6895823045730778)	(16, 0.7755682843378712)	(18, 0.8673836913598943)	(20, 0.98195198525926)	(22, 1.1089907040683542)	(24, 1.2854099151463634)	(26, 1.5233349814059776)	(28, 1.883577778593418)	(30, 2.3943485707570638)	(32, 2.8957891949560954)	(34, 3.4659896871571547)	(36, 4.273151385290905)	(38, 5.115721456394496)	(40, 5.899806410581058)	(42, 6.752701353506647)	(44, 8.008545816984977)	(46, 9.21432737508293)	(48, 10.512120967709599)	(50, 11.792060011640348)	(52, 13.16434073033162)	(54, 14.563815804286696)	(56, 15.941604020886006)	(58, 17.415140194641182)	(60, 19.70536678972207)	(62, 23.9240947655136)	(64, 27.412681194175136)	(66, 29.22078292600853)	(68, 31.06707858715657)	(70, 32.74807605767864)	(72, 34.10810418389406)	(74, 35.47765332241883)	(76, 36.84377111817976)	(78, 38.16372964288435)	(80, 39.458134302601565)	(82, 40.836957705191985)	(84, 42.365640183691724)	(86, 43.76712201484746)	(88, 45.064809582838166)
ERR1797969_1 - polya	(1, 0.00045879751561530836)	(2, 0.0005474726656922168)	(3, 0.0006207260505383584)	(4, 0.0006554250223075834)	(5, 0.0007325338484614167)	(6, 0.0008019317919998667)	(7, 0.0008944623833844668)	(8, 0.0010024147399998334)	(9, 0.0011604878336151918)	(10, 0.0013281995304997795)	(12, 0.0015942249807305044)	(14, 0.0019065157266535294)	(16, 0.0022650717682688544)	(18, 0.002606278323999567)	(20, 0.0029474848797302793)	(22, 0.0032867637148071465)	(24, 0.003610620784653246)	(26, 0.003957610502345496)	(28, 0.004300744778730055)	(30, 0.004684361188845375)	(32, 0.00502942318588378)	(34, 0.005318581283960655)	(36, 0.005704125414729822)	(38, 0.006118585355306676)	(40, 0.006438586983845084)	(42, 0.006762444053691185)	(44, 0.0071171446539988175)	(46, 0.007506544226075676)	(48, 0.00799040211019098)	(50, 0.008468476832344748)	(52, 0.008846310080498531)	(54, 0.0092067938427677)	(56, 0.009513301426729188)	(58, 0.00984101393788298)	(60, 0.010166798728382925)	(62, 0.01066029521576746)	(64, 0.020142753112035117)	(66, 0.03691777824180156)	(68, 0.06323309288745103)	(70, 0.16587072366016475)	(72, 0.27694598773476164)	(74, 0.32416743287136923)	(76, 0.36130304354705534)	(78, 0.39828443657043383)	(80, 0.4478846889938871)	(82, 0.502666654534878)	(84, 0.5709754359039052)	(86, 0.6495647515198921)	(88, 0.7601079646940276)
ERR1797969_1_paired - illumina_universal_adapter	(1, 0.003551388324019584)	(2, 0.005096128661119787)	(3, 0.0069437592603965)	(4, 0.009541043258560077)	(5, 0.015356536292349076)	(6, 0.02870642459777877)	(7, 0.04834128584337105)	(8, 0.06317533643346565)	(9, 0.07076273750098723)	(10, 0.07972071700485753)	(12, 0.08930719380274407)	(14, 0.09884823706130416)	(16, 0.11029748897157625)	(18, 0.12273870649047641)	(20, 0.13797030054967768)	(22, 0.15481099912669166)	(24, 0.17717187273187252)	(26, 0.20632506046636165)	(28, 0.2506303335662307)	(30, 0.310772981249654)	(32, 0.3682047610865976)	(34, 0.43256136954255164)	(36, 0.5196915395859021)	(38, 0.6056517959915957)	(40, 0.6842593912829545)	(42, 0.7683190112934906)	(44, 0.8876653468475901)	(46, 1.002911305477475)	(48, 1.1245898960503338)	(50, 1.2418311442823065)	(52, 1.3652967874020066)	(54, 1.4838442498896154)	(56, 1.594312114633666)	(58, 1.7146163406418986)	(60, 1.9000836204291303)	(62, 2.235663314151041)	(64, 2.5093738856951213)	(66, 2.6436299944048596)	(68, 2.7662626893035744)	(70, 2.860128381552075)	(72, 2.9170111727888237)	(74, 2.9607295960057254)	(76, 2.994380704133536)	(78, 3.0204784863483196)	(80, 3.0458379735490477)	(82, 3.0539440741905466)	(84, 3.054777022411532)	(86, 3.05515942136753)	(88, 3.0555153174255874)
ERR1797969_2 - illumina_universal_adapter	(1, 0.02877315847930291)	(2, 0.036584282568686226)	(3, 0.04734481925845367)	(4, 0.06210344858429737)	(5, 0.102296424216983)	(6, 0.18706986769050737)	(7, 0.3197972901491007)	(8, 0.42136503595893)	(9, 0.46844382976715293)	(10, 0.5249684547792204)	(12, 0.5874863633040948)	(14, 0.6486433010473538)	(16, 0.7320519182979552)	(18, 0.8217082781876712)	(20, 0.9343989721701909)	(22, 1.0597547908484777)	(24, 1.234670379816487)	(26, 1.4707891718234478)	(28, 1.8303302786928883)	(30, 2.3386451547435345)	(32, 2.836328651388221)	(34, 3.4012876711314735)	(36, 4.200316315826648)	(38, 5.035424180279202)	(40, 5.813353922418035)	(42, 6.65878858641324)	(44, 7.903222871341456)	(46, 9.09011276703172)	(48, 10.355967883865471)	(50, 11.621514565394607)	(52, 12.983736437714112)	(54, 14.374218694818996)	(56, 15.74788930010169)	(58, 17.218616784864217)	(60, 19.496947415790224)	(62, 23.67541494572618)	(64, 27.1245447880448)	(66, 28.915501372382888)	(68, 30.742988263111354)	(70, 32.40659576561508)	(72, 33.75170526169039)	(74, 35.10516371591751)	(76, 36.457099270828095)	(78, 37.76587123257842)	(80, 39.0510421103637)	(82, 40.42124281846948)	(84, 41.941283325278036)	(86, 43.33297619095353)	(88, 44.620151898218815)
ERR1797969_2 - polya	(1, 4.62652956923e-05)	(2, 5.397617830768334e-05)	(3, 6.554250223075834e-05)	(4, 8.0964267461525e-05)	(5, 0.00013108500446151668)	(6, 0.00018120574146150836)	(7, 0.0002737363328461084)	(8, 0.0004163876612307001)	(9, 0.00053205090046145)	(10, 0.0007653050995767959)	(12, 0.0009696434888844543)	(14, 0.0011624155542690378)	(16, 0.0013262718098459333)	(18, 0.0015094052719612878)	(20, 0.001900732564691992)	(22, 0.0022207341932304002)	(24, 0.0026795317088457084)	(26, 0.0028915809807687504)	(28, 0.0030380877504610337)	(30, 0.003280980552845609)	(32, 0.003477608059537884)	(34, 0.0036221871085763213)	(36, 0.0037474889510763004)	(38, 0.0038438749837685924)	(40, 0.003946044178422421)	(42, 0.004096406389422396)	(44, 0.007200036642114188)	(46, 0.009532578633267647)	(48, 0.009796676362844526)	(50, 0.009970171221690652)	(52, 0.010151376963152159)	(54, 0.010263184761075218)	(56, 0.010357643073113664)	(58, 0.019745642657342872)	(60, 0.03713175523437845)	(62, 0.06378442099445095)	(64, 0.1654851795293956)	(66, 0.2769941807511078)	(68, 0.32590238145983047)	(70, 0.36429293828117026)	(72, 0.4035875960891637)	(74, 0.4557170180104627)	(76, 0.5133500823984917)	(78, 0.5844964685699798)	(80, 0.6662356797343508)	(82, 0.7823943431731393)	(84, 0.9376182656621135)	(86, 1.1771279182991892)	(88, 1.520293038214209)
ERR1797969_2_paired - illumina_universal_adapter	(1, 0.0033090761142783756)	(2, 0.004051157256610826)	(3, 0.0049295390169227064)	(4, 0.006224394887727288)	(5, 0.010063528960814557)	(6, 0.019922606994659968)	(7, 0.035309432313226696)	(8, 0.04706914674222971)	(9, 0.0522864315082201)	(10, 0.058938658891271714)	(12, 0.06664721606366389)	(14, 0.07421190036152224)	(16, 0.08364693202832055)	(18, 0.09432002764176534)	(20, 0.108256765830162)	(22, 0.12319682801201837)	(24, 0.14390316356006005)	(26, 0.17015996316248633)	(28, 0.20994838522764817)	(30, 0.2652296442031385)	(32, 0.3176296595596748)	(34, 0.37498950295935146)	(36, 0.4532336299360985)	(38, 0.531432323373519)	(40, 0.6031832403548572)	(42, 0.6791556903652803)	(44, 0.7872647971926313)	(46, 0.8892365900826307)	(48, 0.99485442450358)	(50, 1.0960576333533063)	(52, 1.2015997452087115)	(54, 1.3063391978693488)	(56, 1.403593474925949)	(58, 1.5079278118609252)	(60, 1.663878435599056)	(62, 1.9362449316047283)	(64, 2.1561054006621028)	(66, 2.267591733912722)	(68, 2.369608960342048)	(70, 2.4482847059423962)	(72, 2.4946458466967885)	(74, 2.5352066389305006)	(76, 2.570179105827056)	(78, 2.594027927845179)	(80, 2.61248530319656)	(82, 2.6200196984682007)	(84, 2.622529901515988)	(86, 2.62441160726976)	(88, 2.6262668101255913)
ERR1797970_1 - illumina_universal_adapter	(1, 0.05846954199797405)	(2, 0.07227876151049883)	(3, 0.0912392178830519)	(4, 0.11848971141809947)	(5, 0.18981106374542978)	(6, 0.32164818554064334)	(7, 0.48996822903330206)	(8, 0.6154676774905217)	(9, 0.6770760197909619)	(10, 0.7507571041638664)	(12, 0.8302577345521089)	(14, 0.907103901048194)	(16, 1.0058540878368485)	(18, 1.1173584667636343)	(20, 1.2503388477599253)	(22, 1.4128130634165315)	(24, 1.6288533842349624)	(26, 1.905910706387759)	(28, 2.2937703073996842)	(30, 2.831096500087481)	(32, 3.3620418421603957)	(34, 3.9563132312447293)	(36, 4.72896872388244)	(38, 5.52257270490246)	(40, 6.2279561228757725)	(42, 6.992006196502415)	(44, 8.182311733931858)	(46, 9.31832841612983)	(48, 10.514006708622464)	(50, 11.657436741534813)	(52, 12.857417743532983)	(54, 14.025374346990619)	(56, 15.18076636287385)	(58, 16.43203633799623)	(60, 18.441103190688125)	(62, 22.30182193090284)	(64, 25.41378849441962)	(66, 26.894938046239485)	(68, 28.396322722736553)	(70, 29.80408216748428)	(72, 30.943569927289467)	(74, 32.08568586916609)	(76, 33.2334486479505)	(78, 34.33048751275607)	(80, 35.424081581775134)	(82, 36.59978193597899)	(84, 37.910133444067405)	(86, 39.119406946961035)	(88, 40.26086396604689)
ERR1797970_1 - polya	(1, 0.0005782000557174599)	(2, 0.0007246273425549985)	(3, 0.0008109818963309827)	(4, 0.0008748091752088841)	(5, 0.0009348819082704384)	(6, 0.0010400091911281584)	(7, 0.0011413819281695312)	(8, 0.001291563760823417)	(9, 0.0014830455974571212)	(10, 0.0016839137986316933)	(12, 0.001978645645214944)	(14, 0.0023146774957780135)	(16, 0.002688254804504554)	(18, 0.003024286655067623)	(20, 0.0034260230574167673)	(22, 0.0038671821908375565)	(24, 0.00423700495374775)	(26, 0.004618091354106985)	(28, 0.0049616322963027485)	(30, 0.005277014144875908)	(32, 0.005575500537275506)	(34, 0.005887127840032319)	(36, 0.006320777881820414)	(38, 0.00676005974233303)	(40, 0.007086705228355231)	(42, 0.007434000716367342)	(44, 0.0078113325709102295)	(46, 0.008186787152544943)	(48, 0.008612928102700344)	(50, 0.009080369056835564)	(52, 0.009508387279899139)	(54, 0.009912000955156455)	(56, 0.010270560080617608)	(58, 0.010736123761844654)	(60, 0.011203564715979872)	(62, 0.011751728405166556)	(64, 0.029411234652355338)	(66, 0.05772426465342914)	(68, 0.09585730923715889)	(70, 0.2328625633485743)	(72, 0.365794135249253)	(74, 0.4235446817233966)	(76, 0.46867995425461373)	(78, 0.5135749358535848)	(80, 0.5712090914074215)	(82, 0.6371651977631918)	(84, 0.7168178872569964)	(86, 0.817518560597243)	(88, 0.9534612782426323)
ERR1797970_1_paired - illumina_universal_adapter	(1, 0.005173942141044627)	(2, 0.007026590694153055)	(3, 0.009633772476163824)	(4, 0.012827064891339805)	(5, 0.020069236508036385)	(6, 0.035564115315852324)	(7, 0.05590956488089761)	(8, 0.07145160201551994)	(9, 0.07958304493770857)	(10, 0.08925387038493456)	(12, 0.09950406956149627)	(14, 0.10904689383596206)	(16, 0.12083647553756113)	(18, 0.1338656475437855)	(20, 0.14883504785290158)	(22, 0.16632741864615988)	(24, 0.18902404764769548)	(26, 0.21858221319956178)	(28, 0.25799310060205016)	(30, 0.31125169382604534)	(32, 0.3628327979964987)	(34, 0.420355851344558)	(36, 0.49108323619840827)	(38, 0.5586543816081447)	(40, 0.6159450117740868)	(42, 0.6785375852538338)	(44, 0.7739523541908324)	(46, 0.8644121303612449)	(48, 0.9572129806124035)	(50, 1.0450554696450607)	(52, 1.1356398785363186)	(54, 1.2192347497044858)	(56, 1.297106621069505)	(58, 1.3835882555286063)	(60, 1.5200240318833407)	(62, 1.7772524939007441)	(64, 1.9804476187537616)	(66, 2.0717764555181777)	(68, 2.1551490088599716)	(70, 2.2233601601335096)	(72, 2.26496727818441)	(74, 2.297550313555715)	(76, 2.324952669882146)	(78, 2.3449309581884843)	(80, 2.364892404235249)	(82, 2.37168320329537)	(84, 2.3724613156876755)	(86, 2.3728655299174446)	(88, 2.373215848916578)
ERR1797970_2 - illumina_universal_adapter	(1, 0.05477506891468846)	(2, 0.06591105180597408)	(3, 0.08108692599564923)	(4, 0.10321997358301564)	(5, 0.16296230661273137)	(6, 0.28217289082756947)	(7, 0.44124924252038156)	(8, 0.5597351993926647)	(9, 0.6167329594306307)	(10, 0.6855275024235593)	(12, 0.7607441960353498)	(14, 0.8340441940078951)	(16, 0.9295598395757663)	(18, 1.037420431787787)	(20, 1.16732583976049)	(22, 1.3271775051643777)	(24, 1.5425007077318864)	(26, 1.8177708660761016)	(28, 2.213530031485621)	(30, 2.751699119709188)	(32, 3.278848615961776)	(34, 3.8671728044730154)	(36, 4.629938823430468)	(38, 5.414772185423502)	(40, 6.11288117087764)	(42, 6.868198170935461)	(44, 8.044771457041612)	(46, 9.160767023673912)	(48, 10.323771381199787)	(50, 11.451588135334855)	(52, 12.640106508955718)	(54, 13.797257529553907)	(56, 14.946285590278428)	(58, 16.191846778487054)	(60, 18.185122011475393)	(62, 21.998447119850358)	(64, 25.066340947301946)	(66, 26.529971788342735)	(68, 28.012722653953276)	(70, 29.402124246931972)	(72, 30.526648264386104)	(74, 31.653717863903722)	(76, 32.786730909448615)	(78, 33.87253617317167)	(80, 34.956584309452666)	(82, 36.12173438991259)	(84, 37.42237476524702)	(86, 38.62137770806004)	(88, 39.750949712364246)
